text,intent,label_encoded
SEC department supervisors,Department_head,12
What are the eligibility criteria for SEC?,Eligibility_criteria,14
Department management SEC,Department_head,12
Professional training SEC,Internship_opportunities,17
Living facilities at SEC,Hostel_availability,16
Entry criteria SEC,Eligibility_criteria,14
SEC teaching faculty,Faculty_info,15
Application procedure for Sagarmatha Engineering College,Admission_process,0
SEC graduate employment,Placement_info,18
Career opportunities from SEC,Placement_info,18
SEC instructor details,Faculty_info,15
Is hostel available at SEC?,Hostel_availability,16
What can I study at SEC Nepal?,Course_list,8
Phone number of SEC Nepal,College_contact,2
Admission guidelines SEC,Admission_process,0
Engineering course fees at Sagarmatha,Course_fee,7
Faculty strength at SEC,Faculty_info,15
SEC job market success,Placement_info,18
Sagarmatha Engineering College details,College_basic_info,1
SEC faculty information,Faculty_info,15
SEC institutional departments,Department_info,13
SEC entrance eligibility,Eligibility_criteria,14
Admission threshold at SEC,Course_cutoff,5
Price of engineering programs at Sagarmatha Engineering College,Course_fee,7
SEC admission eligibility,Eligibility_criteria,14
Course recommendation SEC,Compare_courses,4
Academic heads at SEC,Department_head,12
SEC admission requirements,Admission_process,0
How much does it cost to study at SEC?,Course_fee,7
Engineering streams at SEC,Course_list,8
SEC academic fees,Course_fee,7
Contact SEC admission office,College_contact,2
What do you study in Mechanical Engineering?,Course_specific_info,11
Who leads the Mechanical Engineering department at SEC?,Department_head,12
SEC scholarship details,Scholarship_info,19
What subjects does SEC offer?,Course_list,8
Head of Electrical Engineering at SEC,Department_head,12
Course quality at SEC,Course_rating,9
Which course to choose at SEC?,Compare_courses,4
Total seats in Civil Engineering at Sagarmatha Engineering College,Course_seats,10
How good are the courses at Sagarmatha Engineering College?,Course_rating,9
SEC campus location,College_location,3
Contact details of Sagarmatha Engineering College,College_contact,2
Job placement at Sagarmatha Engineering College,Placement_info,18
SEC faculty count,Faculty_info,15
SEC admission process,Admission_process,0
SEC course reviews,Course_rating,9
SEC tuition assistance,Scholarship_info,19
Admission procedure Sagarmatha,Admission_process,0
SEC study duration,Course_duration,6
Departmental organization SEC,Department_info,13
Available slots at SEC,Course_seats,10
How many students can enroll at SEC?,Course_seats,10
How to call SEC?,College_contact,2
SEC placement statistics,Placement_info,18
Compare all courses at SEC,Compare_courses,4
Cutoff for Civil Engineering at Sagarmatha Engineering College,Course_cutoff,5
Which course is best at Sagarmatha Engineering College?,Compare_courses,4
SEC program comparison,Compare_courses,4
SEC career services,Placement_info,18
SEC alumni employment,Placement_info,18
SEC scholarship programs,Scholarship_info,19
SEC admission criteria,Admission_process,0
SEC enrollment capacity,Course_seats,10
Scholarship opportunities SEC,Scholarship_info,19
SEC academic requirements,Eligibility_criteria,14
Which field is best at SEC?,Compare_courses,4
Study options at SEC,Course_list,8
SEC hostel rooms,Hostel_availability,16
Which departments does SEC have?,Department_info,13
Faculty heads at Sagarmatha,Department_head,12
Which course has the best placement at SEC?,Compare_courses,4
SEC college in which district?,College_location,3
What courses are offered at Sagarmatha Engineering College?,Course_list,8
SEC industry partnerships,Internship_opportunities,17
Job opportunities after SEC,Placement_info,18
SEC admission criteria cutoff,Course_cutoff,5
Placement assistance at SEC,Placement_info,18
Hostel services at SEC,Hostel_availability,16
Engineering disciplines at SEC,Course_list,8
SEC career placement,Placement_info,18
How many semesters at SEC?,Course_duration,6
SEC contact methods,College_contact,2
Tell me about Computer Engineering at SEC,Course_specific_info,11
SEC academic duration,Course_duration,6
SEC admission capacity,Course_seats,10
Physical address of SEC,College_location,3
Available courses at SEC,Course_list,8
SEC faculty departments,Department_info,13
How is Computer Engineering rated at Sagarmatha?,Course_rating,9
SEC background information,College_basic_info,1
Who is the head of Computer Engineering at SEC?,Department_head,12
Exact location of SEC,College_location,3
SEC job placement,Placement_info,18
Is SEC a private or government college?,College_basic_info,1
Practical experience SEC,Internship_opportunities,17
SEC departmental heads list,Department_head,12
Minimum rank required for Civil Engineering at Sagarmatha,Course_cutoff,5
SEC entrance requirements,Course_cutoff,5
Which courses can I study at SEC?,Course_list,8
What type of college is Sagarmatha Engineering College?,College_basic_info,1
Sagarmatha Engineering College address,College_location,3
Qualification needed for SEC,Eligibility_criteria,14
SEC academic departments,Department_info,13
SEC address Nepal,College_location,3
How to contact Sagarmatha Engineering College?,College_contact,2
Scholarship schemes SEC,Scholarship_info,19
Academic departments at Sagarmatha,Department_info,13
What is the fee for Computer Engineering at SEC?,Course_fee,7
SEC department structure,Department_info,13
SEC selection cutoff,Course_cutoff,5
Financial grants SEC,Scholarship_info,19
Internships at Sagarmatha Engineering College,Internship_opportunities,17
Cost of Civil Engineering at Sagarmatha Engineering College,Course_fee,7
Minimum qualifications SEC,Eligibility_criteria,14
Course standards at SEC,Course_rating,9
SEC work-study programs,Internship_opportunities,17
Academic offerings at Sagarmatha,Course_list,8
Admission cutoff at Sagarmatha Engineering College,Course_cutoff,5
SEC faculty leadership,Department_head,12
Address of SEC Nepal,College_location,3
Scholarship programs at Sagarmatha Engineering College,Scholarship_info,19
SEC fee information,Course_fee,7
Quality of Civil Engineering at SEC,Course_specific_info,11
SEC official contact details,College_contact,2
SEC communication details,College_contact,2
List of departments at Sagarmatha Engineering College,Department_info,13
SEC entry requirements,Eligibility_criteria,14
Compare all engineering courses at SEC,Compare_courses,4
Electrical Engineering syllabus SEC,Course_specific_info,11
Best option at SEC,Compare_courses,4
Eligibility conditions SEC,Eligibility_criteria,14
Give me information about Sagarmatha Engineering College,College_basic_info,1
Who manages the Computer Engineering department?,Department_head,12
Study cost at Sagarmatha,Course_fee,7
SEC location in Lalitpur,College_location,3
SEC entry qualifications,Eligibility_criteria,14
SEC industry connections,Internship_opportunities,17
Entrance cutoff for Electrical Engineering at SEC,Course_cutoff,5
SEC department heads,Department_head,12
Fee structure for Electrical Engineering at Sagarmatha Engineering College,Course_fee,7
SEC enrollment process,Admission_process,0
SEC scholarship eligibility,Scholarship_info,19
Which city is Sagarmatha Engineering College in?,College_location,3
Computer Engineering program details,Course_specific_info,11
Civil Engineering curriculum at SEC,Course_specific_info,11
SEC office phone,College_contact,2
Application form SEC,Admission_process,0
Departmental authorities at SEC,Department_head,12
Telephone number of SEC,College_contact,2
How good is Electrical Engineering at Sagarmatha Engineering College?,Course_specific_info,11
Study period at SEC,Course_duration,6
SEC fee structure,Course_fee,7
Number of seats in Electrical Engineering at Sagarmatha Engineering College,Course_seats,10
SEC college overview,College_basic_info,1
Department coordinators at SEC,Department_head,12
SEC departmental divisions,Department_info,13
Engineering program length at SEC,Course_duration,6
Course completion time SEC,Course_duration,6
Mechanical Engineering program SEC,Course_specific_info,11
Electronics program at SEC,Course_specific_info,11
SEC experiential learning,Internship_opportunities,17
SEC fee details,Course_fee,7
Professional exposure SEC,Internship_opportunities,17
What is the contact number of Sagarmatha Engineering College?,College_contact,2
Private engineering college in Nepal,College_basic_info,1
Industry internships SEC,Internship_opportunities,17
Mechanical Engineering course structure,Course_specific_info,11
SEC academic programs,Course_list,8
Scholarship available at Sagarmatha Engineering College,Scholarship_info,19
Civil Engineering subjects at SEC,Course_specific_info,11
SEC admission cutoff 2024,Course_cutoff,5
Residential facilities at Sagarmatha Engineering College,Hostel_availability,16
Need-based scholarships SEC,Scholarship_info,19
Academic faculty SEC,Faculty_info,15
Admission methodology SEC,Admission_process,0
Student financial aid SEC,Scholarship_info,19
SEC academic team,Faculty_info,15
Eligibility for SEC admission,Eligibility_criteria,14
SEC admission seats,Course_seats,10
Admission eligibility at Sagarmatha Engineering College,Eligibility_criteria,14
Work experience programs SEC,Internship_opportunities,17
SEC student scholarships,Scholarship_info,19
Duration of Computer Engineering at Sagarmatha Engineering College,Course_duration,6
Accommodation at SEC,Hostel_availability,16
Academic years at SEC,Course_duration,6
SEC college address,College_location,3
Course duration at SEC,Course_duration,6
Application requirements SEC,Admission_process,0
Faculty details SEC,Faculty_info,15
Quality assessment of SEC,Course_rating,9
How to reach Sagarmatha Engineering College?,College_location,3
Merit scholarships at SEC,Scholarship_info,19
Duration of Civil Engineering at Sagarmatha Engineering College,Course_duration,6
SEC student intake,Course_seats,10
Application process SEC,Admission_process,0
Years required for SEC graduation,Course_duration,6
Compare engineering branches SEC,Compare_courses,4
SEC course comparison,Compare_courses,4
SEC placement record,Placement_info,18
SEC department information,Department_info,13
Does SEC have dormitory?,Hostel_availability,16
Teaching staff at SEC,Faculty_info,15
Course fees at SEC Nepal,Course_fee,7
How to apply for admission at SEC?,Admission_process,0
SEC establishment year,College_basic_info,1
Electronics course details SEC,Course_specific_info,11
Available seats in engineering courses at SEC,Course_seats,10
SEC college email,College_contact,2
Cutoff score for Sagarmatha,Course_cutoff,5
Hostel availability at SEC Nepal,Hostel_availability,16
SEC contact information,College_contact,2
Where is SEC situated?,College_location,3
Student housing at Sagarmatha,Hostel_availability,16
When was Sagarmatha Engineering College established?,College_basic_info,1
Best course at Sagarmatha,Compare_courses,4
Available programs at Sagarmatha Engineering College,Course_list,8
Basic information about Sagarmatha Engineering College,College_basic_info,1
Employment statistics SEC,Placement_info,18
Seat capacity for Mechanical Engineering at SEC,Course_seats,10
Cutoff rank for SEC,Course_cutoff,5
How to secure admission at SEC?,Admission_process,0
SEC admission steps,Admission_process,0
SEC financial aid programs,Scholarship_info,19
SEC internship details,Internship_opportunities,17
Reach out to SEC,College_contact,2
Placement performance SEC,Placement_info,18
SEC practical training,Internship_opportunities,17
Internship programs at Sagarmatha Engineering College,Internship_opportunities,17
Student capacity at Sagarmatha,Course_seats,10
Where can I find SEC?,College_location,3
SEC program list,Course_list,8
Which engineering is better at SEC?,Compare_courses,4
Educational quality at SEC,Course_rating,9
Residential options at SEC,Hostel_availability,16
How well rated is SEC?,Course_rating,9
Professors at Sagarmatha,Faculty_info,15
Contact person at SEC,College_contact,2
What kind of institution is SEC?,College_basic_info,1
Intake capacity at Sagarmatha Engineering College,Course_seats,10
Entrance exam cutoff SEC,Course_cutoff,5
Who runs the departments at SEC?,Department_head,12
Where is Sagarmatha Engineering College located?,College_location,3
Minimum score for SEC admission,Course_cutoff,5
How many faculty members are at SEC?,Faculty_info,15
Course length at SEC,Course_duration,6
Seat availability at SEC,Course_seats,10
Cutoff marks for Mechanical Engineering at SEC,Course_cutoff,5
Engineering programs at Sagarmatha Engineering College,Course_list,8
Number of teachers at SEC,Faculty_info,15
Details of Computer Engineering program,Course_specific_info,11
Does SEC provide accommodation?,Hostel_availability,16
Financial cost of SEC,Course_fee,7
Industrial training at SEC,Internship_opportunities,17
Does SEC offer housing?,Hostel_availability,16
Organizational structure of SEC,Department_info,13
Course ranking at SEC,Course_rating,9
How expensive is SEC?,Course_fee,7
Civil Engineering department leader SEC,Department_head,12
What do you know about SEC?,College_basic_info,1
Time to complete engineering at SEC,Course_duration,6
What is the rating of courses at SEC?,Course_rating,9
SEC program duration,Course_duration,6
Faculty to student ratio at Sagarmatha Engineering College,Faculty_info,15
Admission prerequisites SEC,Eligibility_criteria,14
Industry exposure at SEC,Internship_opportunities,17
Engineering divisions at SEC,Department_info,13
SEC boarding facilities,Hostel_availability,16
General information about Sagarmatha,College_basic_info,1
List of courses at SEC,Course_list,8
Cost of education at SEC,Course_fee,7
SEC capacity per course,Course_seats,10
